base;zero;pos;neg;half;feat;inter
1.20;2.93;0.42;-0.62;-0.43;1.13;-1.48
1.18;-0.12;1.06;-2.42;0.40;1.93;-2.80
1.33;2.45;0.51;-1.63;1.01;-1.89;-0.41
1.67;0.26;1.42;-1.35;0.53;1.55;0.22
1.39;-0.53;2.52;-0.73;0.80;-0.14;-3.24
1.59;-3.04;0.57;-1.06;0.67;-1.16;-1.63
1.48;6.66;0.54;-1.25;-0.24;-2.86;-4.45
1.79;-2.32;2.52;-2.51;1.03;-0.45;5.00
1.57;-1.61;0.79;-0.70;1.05;3.20;5.35
1.70;0.98;1.16;-2.18;0.69;0.08;0.56
1.83;2.07;1.72;-3.57;0.60;-1.88;-1.10
1.72;3.14;1.62;-1.79;1.40;0.74;0.72
1.97;3.14;2.30;-0.94;0.12;3.25;-0.69
2.12;-6.96;1.41;-1.50;0.65;-3.38;-2.08
2.06;3.47;1.41;-2.91;0.55;-2.14;-2.59
2.05;-3.91;2.64;-2.74;0.04;0.69;4.63
2.23;3.49;1.66;-4.25;0.53;0.98;5.31
2.25;-10.97;3.02;-3.01;1.46;-0.54;2.72
2.12;-0.85;2.11;-0.72;0.45;5.59;8.80
2.27;-2.46;3.45;-2.96;0.71;-2.33;-3.18
2.41;-2.13;2.76;-1.99;1.10;1.83;-0.82
2.76;-3.37;2.01;-2.86;1.86;3.31;3.89
3.01;-1.05;2.94;-2.06;1.08;1.63;3.55
2.62;-6.94;2.89;-2.74;0.66;0.27;3.78
2.83;1.28;2.37;-2.79;1.17;1.96;-1.66
2.89;-2.42;3.69;-2.91;-0.12;1.58;2.54
3.03;-1.26;2.94;-2.87;0.78;6.17;4.65
3.12;4.40;1.93;-2.13;0.90;2.95;5.23
2.80;-4.93;3.31;-2.06;0.69;3.47;4.63
3.03;1.62;2.42;-2.47;1.70;2.99;6.41
3.41;4.31;3.54;-2.27;1.81;2.48;3.31
3.07;-1.25;4.72;-3.02;1.08;3.76;4.55
3.17;2.50;3.94;-3.51;-0.07;3.90;0.70
3.38;-1.68;4.27;-3.79;1.69;3.62;6.63
3.61;-0.52;3.00;-3.40;0.99;1.61;4.75
3.50;2.02;1.79;-4.64;0.08;2.79;1.84
3.74;0.92;3.12;-2.74;1.74;1.05;-2.06
3.62;3.82;4.38;-2.33;1.57;2.35;0.09
3.83;-0.66;3.25;-2.86;2.38;2.07;-1.60
3.92;2.66;6.37;-3.32;0.68;4.19;0.86
3.77;2.89;3.99;-3.53;1.05;1.03;-1.42
3.98;0.00;0.00;0.00;0.00;0.00;0.00
4.13;0.00;0.00;0.00;0.00;0.00;0.00
